Transportation partner,Date,Tons carried,Amount paid
Driver_A,2018-01-01,5621.780831931537,71505.42
Driver_A,2018-02-01,8123.957592679835,86057.36
Driver_A,2018-03-01,4092.1304830970557,37542.86
Driver_A,2018-04-01,3406.585285177396,41673.67
Driver_A,2018-05-01,7207.805082202462,81806.05
Driver_A,2018-06-01,3144.0914600706174,40366.13
Driver_A,2018-07-01,8827.098485602952,86052.87
Driver_A,2018-08-01,4272.774770449704,41074.62
Driver_A,2018-09-01,5129.695700716764,54425.25
Driver_A,2018-10-01,6023.615130494811,56030.57
Driver_A,2018-11-01,7282.970263056656,68993.96
Driver_A,2018-12-01,5045.012539746527,52125.14
Driver_A,2019-01-01,6192.489889519251,70102.43
Driver_A,2019-02-01,4397.716475108518,48659.25
Driver_A,2019-03-01,7146.901982034297,64050.58
Driver_A,2019-04-01,7252.813963310068,66606.73
Driver_A,2019-05-01,3455.3611508969566,43423.72
Driver_A,2019-06-01,9759.424231521916,114578.68
Driver_A,2019-07-01,5132.296384213594,43440.9
Driver_A,2019-08-01,7789.631185585098,78948.98
Driver_A,2019-09-01,3854.267643913452,41843.72
Driver_A,2019-10-01,3240.719647806529,37844.08
Driver_A,2019-11-01,4811.459871200119,53199.53
Driver_A,2019-12-01,5181.977532625877,54587.38
Driver_A,2020-01-01,6826.971955402958,63226.81
Driver_A,2020-02-01,9787.09239435191,119516.75
Driver_A,2020-03-01,9576.492590949325,115274.66
Driver_A,2020-04-01,7185.299851677596,87304.75
Driver_A,2020-05-01,3619.4475143634363,34363.3
Driver_A,2020-06-01,3316.5910223737665,32413.51
Driver_A,2020-07-01,5720.741027826374,53362.69
Driver_A,2020-08-01,8801.162564063507,87179.29
Driver_A,2020-09-01,4966.541567811665,51415.47
Driver_A,2020-10-01,3986.4695748233385,45648.86
Driver_A,2020-11-01,3521.8545057583956,44416.97
Driver_A,2020-12-01,8405.713385076602,77417.28
Driver_A,2021-01-01,3038.6548198652167,37628.2
Driver_A,2021-02-01,7948.00140693332,90338.85
Driver_A,2021-03-01,8398.89242680162,74157.59
